,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Available From,Available Till,City,Total Fee,Number of Hrs. Available
288,Dt. Kavita Agarwal,Dietitian/Nutritionist,15.0,M.Sc - Dietitic,600.0,350.0,Consultation,Pune,10:00:00,19:00:00,Pune,950.0,09:00
289,Dt. Mrunal Deshpande,Dietitian/Nutritionist,30.0,"Masters in Dietetics and Food Service Management, Masters in psychology , Post Graduation ...read more",500.0,850.0,Mrunal's Diet & Life Style Management Clinic,Wakad,17:00:00,17:30:00,Pune,1350.0,00:30
290,Dt. Neha Pundir,Dietitian/Nutritionist,10.0,M.Sc - Dietitic,0.0,500.0,TRUPT By Neha Pundir,Dhanori-Lohegaon,17:00:00,20:30:00,Pune,500.0,03:30
291,Dr. Shilpa Ramdin (Nadem),Dietitian/Nutritionist,19.0,"BHMS, M.Sc - Clinical Nutrition, Certificate In Sports Nutrition, DNHE, cirtified batch fl...read more",700.0,500.0,Sarthak diet and homoeopathic clinic,Nana peth,14:30:00,20:00:00,Pune,1200.0,05:30
292,Dr. Rekha Sachdev Pohani,Dietitian/Nutritionist,20.0,"Ph. D - Gastro & Human Nutrition Unit, BSc - Home Science, MSc - Dietitic",400.0,250.0,Diet Clinic,NIBM,08:00:00,20:00:00,Pune,650.0,12:00
293,Dt. Mayura Mahajani,Dietitian/Nutritionist,22.0,"Registered Dietitian , MSc(DFSM), Certified Diabetes Educator, Trained Yoga Teacher & Therapist",0.0,399.0,Aaditya CLINIC,Pune,,,Pune,399.0,
294,Dr. Tripti Khanna,Dietitian/Nutritionist,17.0,Master In Food Science & Nutrition,800.0,500.0,Sirona Healing Center,NIBM Road,17:00:00,19:00:00,Pune,1300.0,02:00
295,Dt. Komal Mehta,Dietitian/Nutritionist,19.0,diploma  in dietitics,0.0,300.0,Shree Hospital,Nagar Road,09:00:00,21:00:00,Pune,300.0,12:00
296,Dt. Archana Rairikar,Dietitian/Nutritionist,32.0,"IGNOU, B.Sc - Nutrition, Post Diploma In Dietetics, Post Graducate Certificate In Diabetes...read more",0.0,350.0,Dr Bhaskar Harshe Clinic,Narayan peth,15:00:00,17:00:00,Pune,350.0,02:00
297,Dt. Rd Bilkish Raje,Dietitian/Nutritionist,20.0,M.Sc Dietetics -Outstanding Grad,500.0,0.0,Ecovalley Nutrition Centre,Wagholi,10:00:00,17:00:00,Pune,500.0,07:00
298,Dt. Shreesha Gijare,Dietitian/Nutritionist,19.0,"Bachelor of Science, Nutrition & Food Technology, Maste",500.0,300.0,Shree Venkateshwara Nutrition Clinic,Ganesh Nagar,09:00:00,18:00:00,Pune,800.0,09:00
299,Dr. Rupal Jasani,Dietitian/Nutritionist,16.0,Bsc - Food & Nutrition,400.0,300.0,Rupal's Diet Clinic,Pune,17:30:00,20:30:00,Pune,700.0,03:00
300,Dt. Aditi Kulkarni,Dietitian/Nutritionist,14.0,post graduate diploma in advanced nutrition,450.0,150.0,One click diet service,Pune,11:00:00,19:00:00,Pune,600.0,08:00
301,Dt. Preeti Singh,Dietitian/Nutritionist,13.0,"MSc - Nutritional Sciences, B.H.Sc. (Food & Nutrition)",500.0,500.0,Preeti's Diet Clinic,Pune,10:00:00,12:00:00,Pune,1000.0,02:00
302,Dt. Mrs. Anagha Samir Jadhav,Dietitian/Nutritionist,22.0,M.Sc - Dietitic,700.0,0.0,Anaghasworld... Shape up your world,Wakad,11:30:00,13:30:00,Pune,700.0,02:00
303,Dt. Manju Sharma,Dietitian/Nutritionist,11.0,M.Sc - Dietitic,500.0,500.0,The Food Clinique- Health,Wellness and Fitness clinic,09:45:00,12:15:00,Pune,1000.0,02:30
304,Dr. Tulika Bakshi Sinha,Dietitian/Nutritionist,11.0,"Bachelor In Clinical Nutrition and Dieteics, Master in Nutrition and Dietetics",0.0,400.0,TotalNutrition@TulikaS,Chinchwad,18:00:00,20:30:00,Pune,400.0,02:30
305,Dr. Rohini Patil,Dietitian/Nutritionist,9.0,MBBS Bachelor of Medicine and Bachelor of Surgery,0.0,250.0,Nutracy Lifestyle by Dr.Rohini Patil,Koregaon Park,10:30:00,18:30:00,Pune,250.0,08:00
306,Dr. Ruta Ashwin,Dietitian/Nutritionist,18.0,"MBBS, MBA (Healthcare), CFN, MSc DFSM",600.0,300.0,Ghole Road,Pune,09:30:00,19:00:00,Pune,900.0,09:30
307,Dr. Deepika Gupta,Dietitian/Nutritionist,18.0,"Ph. D - Nutrition, UGC NET, Junior Research Felloship in Food and Nutrition, Masters in Nu...read more",500.0,0.0,Eat2Nourishh,Pune,17:30:00,20:00:00,Pune,500.0,02:30
308,Dr. Vidya Shinde-rokade,Dietitian/Nutritionist,21.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, Nutrition Certification, Msc dietetics ...read more",500.0,600.0,Priime Nephrocare Nutrition & Wellness,Hadapsar,17:00:00,21:00:00,Pune,1100.0,04:00
309,Dt. Pallavi Menon,Dietitian/Nutritionist,10.0,"PG Diploma in Clinical Nutrition, M.Tech Biotechnology",500.0,200.0,Yogi Tree Wellness,Baner-Pashan Link Road,11:00:00,19:30:00,Pune,700.0,08:30
310,Dr. Aparna Pitre,Dietitian/Nutritionist,16.0,"BHMS, Diploma in Diet and Nutrition, Diploma in Skin Aesthetics, Cosmetology and Trichology",500.0,0.0,Aparna Pitre,Kandivali,16:00:00,20:00:00,Pune,500.0,04:00
311,Dt. Jyoti Kr,Dietitian/Nutritionist,15.0,"Masters in Food Sc. & Nutrition, Bachelor in Home Science",0.0,300.0,Right Diet Transformation Clinic,Pimple Saudagar,14:00:00,16:00:00,Pune,300.0,02:00
312,Dt. Gitanjali Borse,Dietitian/Nutritionist,23.0,BSc - Dietitic,500.0,300.0,Pain ex clinic,Pune,18:00:00,20:00:00,Pune,800.0,02:00
313,Dt. Sonali Bhanushali,Dietitian/Nutritionist,13.0,Post Graduate Diploma in applied nutrition n dietetics,500.0,0.0,Bhanushali Clinic,Hadapsar,09:00:00,13:30:00,Pune,500.0,04:30
314,Dt. Sanjay Kumar Mishra,Dietitian/Nutritionist,0.0,Not Mentioned,600.0,0.0,Aditya Birla Memorial Hospital,Pune,10:00:00,17:00:00,Pune,600.0,07:00
315,Dr. Shahenaz Shaikh,Dietitian/Nutritionist,13.0,MSc - Dietitic,500.0,0.0,Express Clinics,Hadapsar,16:00:00,18:00:00,Pune,500.0,02:00
316,Ms. Vishnu  Priya,Dietitian/Nutritionist,0.0,Not Mentioned,500.0,200.0,Tatva Diet Clinic,Lohegaon,09:00:00,17:00:00,Pune,700.0,08:00
317,Shweta Chikhale,Dietitian/Nutritionist,0.0,Not Mentioned,600.0,0.0,Apollo Spectra hospital,Pune,08:30:00,12:30:00,Pune,600.0,04:00
318,Dt. Ss,Dietitian/Nutritionist,0.0,Not Mentioned,300.0,50.0,Nutrazyss,Pimple Saudagar,09:00:00,21:00:00,Pune,350.0,12:00
319,Dt. Shalini Garg,Dietitian/Nutritionist,19.0,"BSc - Food and Nutrition, MSc - Food and Applied Nutrition",600.0,0.0,Maxcare Hospital,Pune,12:00:00,12:30:00,Pune,600.0,00:30
320,Dt. Riddhi Gandhi,Dietitian/Nutritionist,15.0,"Masters in Nutritional Therapy, S M Patel College of Home Science, Vallabh Vidyanagar",0.0,400.0,dt.Riddhi Gandhi,Pune,11:00:00,17:00:00,Pune,400.0,06:00
321,Dt. Bhumika Batra,Dietitian/Nutritionist,0.0,Not Mentioned,500.0,0.0,Bhumika Batra,Pune,17:00:00,17:30:00,Pune,500.0,00:30
322,Dr. Shivram Bhonagiri,General Physician,41.0,"MBBS, MD - Internal Medicine",600.0,0.0,Aster Hospital,Aundh,11:30:00,13:30:00,Pune,600.0,02:00
323,Dr. Arunesh Dutt Upadhyay,General Physician,38.0,"MBBS, MD - Aerospace Medicine, Eular Certification in Rheumatology",750.0,300.0,Dr. Upadhyay's Clinic,Tingre Nagar,10:00:00,14:00:00,Pune,1050.0,04:00
324,Dr. Amar Raykantiwar,General Physician,17.0,"D ( Diabetology), AFIH, DNB (F.MEDICINE), MBBS",300.0,300.0,Atarva Diabetes Care Centre,Sinhagad Road,18:00:00,21:00:00,Pune,600.0,03:00
325,Dr. Rahul Sanap (Dermatologist),General Physician,14.0,"MBBS, DDV",500.0,500.0,PRIME SKIN DOCTORS,Pune,10:00:00,21:00:00,Pune,1000.0,11:00
326,Dr. Abhay B Mane,General Physician,21.0,"MD, DFID",500.0,600.0,Diabelife (Diabetes Speciality Clinic),Wakad,18:00:00,22:00:00,Pune,1100.0,04:00
327,Dr. Abhay A Mali,General Physician,19.0,"MBBS, Diploma in Diabetology",700.0,250.0,Wellness Speciality Clinic,Pimple Saudagar,13:00:00,14:00:00,Pune,950.0,01:00
328,Dr. Abhinav Mohindra,General Physician,6.0,"MBBS, DNB (General Medicine)",150.0,400.0,Ruby Hall Clinic,Sangamvadi,09:00:00,09:00:00,Pune,550.0,00:00
329,Dr. K G Agrawal,General Physician,52.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Medicine",400.0,0.0,Asha Medi Clinic,Pimpoli,18:00:00,20:30:00,Pune,400.0,02:30
330,Dr. Ankush Gupta,General Physician,14.0,"MBBS, MD, Fellowship in Diabetes, Diploma in emergency medicine",400.0,400.0,One Life Clinic,Sinhagad,16:00:00,19:00:00,Pune,800.0,03:00
331,Dr. Jyoti Gulati,General Physician,38.0,"MBBS, MD - General Medicine",0.0,350.0,Jupiter Hospital - Pune,Baner,10:00:00,11:00:00,Pune,350.0,01:00
332,Dr. Salma Siddiqui,General Physician,20.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, DNB - General Medicine, Fellowship In C...read more",400.0,350.0,Pinnacle Health Care Clinic & Diagnostics,Pune,12:00:00,13:00:00,Pune,750.0,01:00
333,Dr. Abhijeet Baldota,General Physician,24.0,"MBBS, MD - General Medicine",700.0,0.0,ALLOVEDA CLINIC,Aundh,11:30:00,13:30:00,Pune,700.0,02:00
334,Dr. Subhash Divekar,General Physician,11.0,Certificate in Basic Course on Diabetes Management,500.0,0.0,Vitalife Clinic,Baner,15:00:00,17:00:00,Pune,500.0,02:00
335,Dr. Samir Singru,General Physician,29.0,"MBBS, MD, Diploma in Clinical Nutrition",200.0,300.0,Shri Vyankatesh Clinic,Pimpri Chinchwad,18:30:00,20:00:00,Pune,500.0,01:30
336,Dr. Amit Sakaria,General Physician,27.0,"MBBS, MD - General Medicine",600.0,0.0,Prudent International Health Clinic,Pune,16:00:00,20:00:00,Pune,600.0,04:00
337,Dr. Reema Kashiva,General Physician,26.0,"MBBS, MD - General Medicine",700.0,0.0,Noble Hospital- Pune,Hadapsar,12:00:00,17:00:00,Pune,700.0,05:00
338,Dr. Rahul Sonawane,General Physician,17.0,"DNB (General Medicine), MBBS",400.0,200.0,Panacea clinic,Wakad,10:00:00,13:30:00,Pune,600.0,03:30
339,Dr. Nilanjan Banerjee,General Physician,29.0,MBBS,400.0,0.0,Good Health Family Clinic,Kondhwa,10:00:00,15:00:00,Pune,400.0,05:00
340,Dr. Pranav Taware,General Physician,13.0,"B.H.M.S., P.G.D.E.M.S.",100.0,100.0,Samarth Polyclinic,Pimple Gurav,17:00:00,22:00:00,Pune,200.0,05:00
341,Dr. Anup Shinde,General Physician,19.0,MBBS,200.0,200.0,Chirayu Family Clinic,Kharadi,17:00:00,21:00:00,Pune,400.0,04:00
342,Dr. A. Salam Salam,General Physician,17.0,MD - General Medicine,0.0,300.0,US. Multi speciality clinic,Pune,,,Pune,300.0,
343,Dr. Parag Vaste,General Physician,24.0,"MBBS, MD",500.0,0.0,Dr. Parag Vaste Clinic  (On Call),Pune,11:00:00,13:00:00,Pune,500.0,02:00
344,Dr. Namrata B,General Physician,10.0,MBBS,200.0,500.0,Samarth Clinic,Bavdhan,09:00:00,17:00:00,Pune,700.0,08:00
345,Dr. Niteen Sonawane,General Physician,10.0,MBBS,200.0,150.0,Rohan Madhuban,Bavdhan Khurd,09:00:00,21:00:00,Pune,350.0,12:00
346,Dr. Ankita Bora,General Physician,6.0,MBBS,500.0,500.0,At Home,Viman Nagar,09:00:00,21:00:00,Pune,1000.0,12:00
347,Dr. Manoj Naik,General Physician,38.0,"MBBS, MD - General Medicine, DNB - General Medicine",350.0,0.0,Krishna Hospital,Pune,18:30:00,21:30:00,Pune,350.0,03:00
348,Dr. Uma Alurkar,General Physician,28.0,"MBBS, MD - General Medicine",600.0,0.0,Ananya Clinic,Baner,09:00:00,10:00:00,Pune,600.0,01:00
349,Dr. Nikhil Dhande,General Physician,16.0,MBBS,300.0,100.0,Healthwell Clinic,Wakad,11:30:00,11:45:00,Pune,400.0,00:15
350,Dr. Amit Prakash Darira,General Physician,18.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, DNB (General Medicine), MNAMS (Membersh...read more",500.0,300.0,Darira clinic,Dhayari,17:00:00,21:00:00,Pune,800.0,04:00
351,Dr. Dnyanoba Bhaskar,General Physician,24.0,"Certificate Course in Thyroid  Disorder Management, FCPS MEDICINE , Diploma in Diabetology...read more",0.0,400.0,Dr.Dnyanoba Bhaskar,Pune,,,Pune,400.0,
352,Dr. Sayan Mukherjee,General Physician,11.0,"m.b.b.s, MD medicine",500.0,300.0,Medclinic,Pune,10:00:00,12:00:00,Pune,800.0,02:00
353,Dr. Mukesh Budhwani,General Physician,23.0,MD - Physician,600.0,0.0,Apollo Clinic,Viman Nagar,11:00:00,19:00:00,Pune,600.0,08:00
354,Dr. Sanjeev Gambhir,General Physician,0.0,Not Mentioned,900.0,500.0,Dr.Sanjeev Gambhir's Clinic,Pune,10:00:00,15:00:00,Pune,1400.0,05:00
355,Dr. Nikunj Sharma,General Physician,14.0,MBBS,200.0,200.0,Iris healthcare clinic sus,Sus,18:00:00,21:00:00,Pune,400.0,03:00
356,Dr. Yogya Jha,General Physician,20.0,MBBS,600.0,0.0,Arogya Diagnostic Clinic,Baner,19:00:00,20:00:00,Pune,600.0,01:00
357,Dr. Aparajita Pandey,General Physician,0.0,MD - Anaesthesiology,200.0,300.0,Dr. Aparajita,Ware house Road,09:00:00,23:00:00,Pune,500.0,14:00
358,Dr. Vijay Naik,General Physician,40.0,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), FICA",300.0,0.0,Ajay Clinic,Anandnagar,09:00:00,11:00:00,Pune,300.0,02:00
359,Dr. Shaikh Junaid,General Physician,11.0,bums,100.0,300.0,clinic,Pune,19:00:00,10:00:00,Pune,400.0,15:00
360,Dr. Parag Arvind Kothadia,General Physician,27.0,B.H.M.S.,150.0,100.0,Vardhman Clinic,Pune,11:00:00,14:00:00,Pune,250.0,03:00
361,Dr. Pushkar S Khair,General Physician,23.0,"MBBS, DNB (Pediatrics)",200.0,0.0,Shreeyasha Clinic,Pradhikaran,16:30:00,18:00:00,Pune,200.0,01:30
362,Dr. Shubham Malani,General Physician,3.0,MD - Medicine,500.0,300.0,D y Patil hospital,Pimpri,14:04:00,02:03:00,Pune,800.0,11:59
363,Dr. Suruchi Mandrekar,General Physician,28.0,"MBBS, FCPS - Medicine, DNB - General Medicine",550.0,0.0,Manipal Hospitals,Pune,09:00:00,13:00:00,Pune,550.0,04:00
364,Dr. Avdhut G Bodmawad,General Physician,13.0,MBBS,400.0,250.0,Lopmudra Polyclinic & Diagnostic Center    (On Call),Bavdhan,19:00:00,22:00:00,Pune,650.0,03:00
365,Dr. Amolraj Atole,General Physician,11.0,BHMS,100.0,100.0,Sanika Clinic,Pune Sholapur Road,09:00:00,17:00:00,Pune,200.0,08:00
366,Dr. Deepak Pawar,General Physician,14.0,"BHMS, PGDEMS",200.0,100.0,Niramay Clinic,Karve Nagar,10:00:00,14:00:00,Pune,300.0,04:00
367,Dr. Yash Kishore Shah,Orthopedist,21.0,"MBBS, MS",600.0,0.0,Matruseva Hospital,Nana peth,17:30:00,20:30:00,Pune,600.0,03:00
368,Dr. Mandar Nagmode,Orthopedist,22.0,MBBS,600.0,0.0,Surya Multispeciality Hospital,Chakan,10:00:00,19:00:00,Pune,600.0,09:00
369,Dr. Rahul Bade,Orthopedist,20.0,"MBBS, DNB (Orthopedics)",400.0,200.0,Medistar Institute for Orthopaedics,Sports injuries and Advanced Surgeries,17:00:00,07:30:00,Pune,600.0,14:30
370,Dr. Pankaj Jindal,Orthopedist,39.0,"MS - Orthopaedics, Clinical fellowship hand surgery, clinical fellowship hand surgery, Cli...read more",500.0,300.0,Ratna Memorial Hospital,Senapati Bapat Road,09:00:00,12:00:00,Pune,800.0,03:00
371,Dr. Nakul Shah,Orthopedist,30.0,"MBBS, MS - Orthopaedics, DNB - Orthopedics",700.0,500.0,Dr. N S Shah's Knee & Hip Specialty Clinic (Panacea Specialty Clinic),Karve Road,18:00:00,21:00:00,Pune,1200.0,03:00
372,Dr. Suhel Khan,Orthopedist,17.0,"MBBS, Diploma In Orthopaedics, DNB (Orthopedics), MS - Orthopaedics",500.0,300.0,Sana Hospital,Kondhwa,17:00:00,21:30:00,Pune,800.0,04:30
373,Dr. Rohit Chakor,Orthopedist,16.0,"MBBS, DNB - Orthopedic",500.0,500.0,Dr Rohit Chakor's The Bone & Joint Clinic,Fatima Nagar,09:00:00,14:00:00,Pune,1000.0,05:00
374,Dr. Rajesh Parasnis,Orthopedist,33.0,"MS - Orthopaedics, DNB (Orthopedics), MBBS",950.0,0.0,Oyster & Pearl Hospital,Shivaji Nagar,13:00:00,19:00:00,Pune,950.0,06:00
375,Dr. Sameer Desai,Orthopedist,24.0,"MBBS, MS - Orthopaedics, DNB - Orthopaedics",600.0,300.0,Desai Eye Clinic,Sahakar Nagar,18:00:00,19:00:00,Pune,900.0,01:00
376,Dr. Yogesh Khandalkar,Orthopedist,20.0,"MBBS, D. Ortho, DNB (Orthopedics), M Ch. Ortho",500.0,600.0,Gurukrupa Polyclinic,Sinhagad Road,11:00:00,13:00:00,Pune,1100.0,02:00
377,Dr. Hrushikesh R.Saraf,Orthopedist,26.0,"MBBS, DNB - Orthopedics, MS - Orthopaedics",500.0,300.0,Dr.Saraf's Joints Clinic,Karve Road,16:30:00,20:00:00,Pune,800.0,03:30
378,Dr. Anshu Sachdev,Orthopedist,27.0,"MNAMS (Orthopedic Surgery), Diploma In Orthopaedics (D. Ortho), DNB (Orthopedics), MBBS",900.0,0.0,The Knee Klinik,Viman Nagar,18:00:00,21:00:00,Pune,900.0,03:00
379,Dr. Abhijit Patil,Orthopedist,19.0,"MS - Orthopaedics, D. Ortho",500.0,500.0,Advance Ortho Care Clinic,Undri,10:00:00,12:00:00,Pune,1000.0,02:00
380,Dr. Mahesh M N,Orthopedist,23.0,"MCh, ",500.0,0.0,Satya Sai Orthopedics & Multispeciality Hospital,Viman Nagar,10:00:00,14:30:00,Pune,500.0,04:30
381,Dr. Mayur Kasat,Orthopedist,20.0,"MBBS, Diploma in Orthopaedics, FCPS - Orthopedic, Fellowship in Joint Replacement of Knee,...read more",400.0,300.0,Orthocare & Joint Replacement Clinic,Bibwewadi,18:30:00,21:30:00,Pune,700.0,03:00
382,Dr. Prashant Gholap,Orthopedist,14.0,"MBBS, MS - Orthopaedics",600.0,500.0,Aster Speciality Clinic,Lohegaon,18:00:00,20:00:00,Pune,1100.0,02:00
383,Dr. Azhar Lakhani,Orthopedist,14.0,"Jawaharlal Nehru Medical College, Wardha, Nagpur, Ms- Ortho, Fellowship in Complex Trauma ...read more",400.0,300.0,Curis Bone & Joint Clinic,Pune,18:00:00,21:30:00,Pune,700.0,03:30
384,Dr. Vishal Murkute,Orthopedist,20.0,"MBBS, DNB - Orthopedics, Fellowship in Joint Replacement",500.0,0.0,Dr. Murkute's O2 Bone and Eye Care,Kharadi,11:30:00,13:00:00,Pune,500.0,01:30
385,Dr. Amit Kale,Orthopedist,26.0,"MBBS, MS - Orthopaedics, DNB - Orthopedics",500.0,350.0,Unity Hospital,Aundh,19:30:00,21:30:00,Pune,850.0,02:00
386,Dr. Nikheel Pansare,Orthopedist,20.0,"MBBS, ",500.0,0.0,Swastik Bone & Joint Clinic,Viman Nagar,18:00:00,21:00:00,Pune,500.0,03:00
387,Dr. Ajit Swamy,Orthopedist,22.0,"MS - Orthopaedics, DNB (Orthopedics)",400.0,500.0,Swamy clinic,Pimpri,19:00:00,21:30:00,Pune,900.0,02:30
388,Dr. Anand Kelkar,Orthopedist,57.0,"MS - Orthopaedics, MBBS",800.0,0.0,Kelkar Nursing Home,Pune,17:00:00,18:30:00,Pune,800.0,01:30
389,Dr. Kiran Shete,Orthopedist,23.0,"DNB (Orthopedics), MS(Ortho)",500.0,0.0,Spinalogy Clinic,Aundh,19:00:00,20:00:00,Pune,500.0,01:00
390,Dr. Harshal Patkar,Orthopedist,14.0,DNB (Orthopedics),300.0,250.0,Poona Hospital,Sadashiv peth,,,Pune,550.0,
391,Dr. Parimal Kore,Orthopedist,9.0,DNB (Orthopedics),600.0,0.0,Ruby Hall Clinic,Pune,18:00:00,20:00:00,Pune,600.0,02:00
392,Dr. Mayur Purandare,Orthopedist,22.0,"MBBS, DNB - Orthopedics, MNAMS - Orthopaedics",500.0,500.0,Orion Hospital,Pune,10:00:00,13:00:00,Pune,1000.0,03:00
393,Dr. Rajeev Gawhale,Orthopedist,13.0,"MBBS, Diploma in Orthopaedics",400.0,0.0,BONE AND JOINT CARE CLINIC,Pune,18:00:00,21:00:00,Pune,400.0,03:00
394,Dr. Jagdish Dhake,Orthopedist,11.0,"MBBS, MS - Orthopaedics, DNB (Orthopedics), MNAMS - Orthopaedics, FELLOWSHIP OF JOINT REPL...read more",500.0,0.0,Asperia speciality Clinic,Pune,11:00:00,21:00:00,Pune,500.0,10:00
395,Dr. Sandeep Patwardhan,Orthopedist,32.0,"MBBS, MS - Orthopaedics",500.0,0.0,Suryaprabha Nursing Home,Vanaz,07:00:00,21:00:00,Pune,500.0,14:00
396,Dr. Ketaki Mohite,Orthopedist,7.0,"MBBS, MS - Orthopaedics",500.0,200.0,Dr. Ketaki Mohite Phoenix Orthopedic Consultation Clinic,Erandwane,16:00:00,19:00:00,Pune,700.0,03:00
397,Dr. Vaibhav Gandhi,Orthopedist,39.0,"MS - Orthopaedics, MBBS",800.0,0.0,O Clinic,Law College Road,10:00:00,20:00:00,Pune,800.0,10:00
398,Dr. Rahul Nerlikar,Orthopedist,31.0,"MS - Orthopaedics, M.Ch - Orthopaedics, FRCS, MBBS",300.0,0.0,Kelkar Nursing Home,Prabhat Road,18:00:00,20:30:00,Pune,300.0,02:30
399,Dr. Chetan Pradhan,Orthopedist,33.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MS - Orthopaedics",750.0,0.0,Sancheti Hospital,Shivaji Nagar,10:30:00,12:00:00,Pune,750.0,01:30
400,Dr. Amol Narkhede,Orthopedist,21.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MS - Orthopaedics",750.0,0.0,Sancheti hospital,Pune,10:30:00,11:30:00,Pune,750.0,01:00
401,Dr. Harshal Kalambe,Orthopedist,14.0,"MBBS, MS - Orthopaedics, Fellowship in Joint Replacement, fellowship in sports injury and ...read more",500.0,400.0,Osteon Bone And Joint Clinic,Pimpri Chinchwad,11:00:00,13:00:00,Pune,900.0,02:00
402,Dr. Vinod Nair,Orthopedist,22.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MS - Orthopaedics, DNB - Orthopedic",300.0,300.0,Tattvam Clinic,Dhanori,19:30:00,21:00:00,Pune,600.0,01:30
403,Dr. Sachin Sonawane,Orthopedist,22.0,"MBBS, DNB - Orthopedic",400.0,0.0,Well Care Clinic,Wakad,11:00:00,13:30:00,Pune,400.0,02:30
404,Dr. Dinesh Patil,Orthopedist,15.0,Diploma In Orthopaedics (D. Ortho),150.0,0.0,Aastha Hospital,Chinchwad,09:00:00,13:00:00,Pune,150.0,04:00
405,Dr. Ranjit Deshmukh,Orthopedist,30.0,"MS - Orthopaedics, DNB (Orthopedics)",500.0,0.0,Pediatric Orthopedic Clinic,Pune,17:00:00,19:00:00,Pune,500.0,02:00
406,Dr. Sachin Khalane,Orthopedist,21.0,"MBBS, Diploma In Orthopaedics (D. Ortho), DNB (Orthopedics)",300.0,0.0,Omkar Khalane Hospital,Ravet,09:00:00,12:00:00,Pune,300.0,03:00
407,Dr. Ashutosh Sabnis,Orthopedist,24.0,"MBBS, MS - Orthopaedics, Fellow in Spine Surgery",800.0,0.0,Opus Spine and Sports Clinic,Pune,17:30:00,20:30:00,Pune,800.0,03:00
408,Dr. Pramod Bhilare,Orthopedist,12.0,"MBBS, MS - Orthopaedics, Fellow in Spine Surgery, Complex SPINE surgery fellowship, DNB (O...read more",700.0,200.0,Spine Rx Clinic Tilak Road,Tilak Road,18:00:00,21:00:00,Pune,900.0,03:00
409,Dr. Sachin Arun Jamadar,Orthopedist,18.0,"MBBS, Diploma in Orthopaedics",300.0,0.0,Bone Care Clinic,Pune,18:30:00,20:30:00,Pune,300.0,02:00
410,Dr. Akhileshwar Singh,Gynaecologist,5.0,"MBBS, MS - Obstetrics & Gynaecology",500.0,300.0,Pristyn Care Clinic,Pune,17:00:00,20:00:00,Pune,800.0,03:00
411,Dr Komal Bhadu,Gynaecologist,12.0,"MBBS, DGO",0.0,500.0,Pristyn Care Clinic,Viman Nagar,17:00:00,22:00:00,Pune,500.0,05:00
412,Dr. Rachna,Gynaecologist,0.0,Not Mentioned,200.0,0.0,Sanjeevani Polyclinic,Rahatani,10:00:00,12:00:00,Pune,200.0,02:00
413,Dr. Sagar Bumb,Gynaecologist,30.0,"DGO , MBBS",500.0,300.0,Dr.Bumb Nursing Home,Viman Nagar,17:00:00,20:00:00,Pune,800.0,03:00
414,Dr. Asha Gavade,Gynaecologist,19.0,"MBBS, DNB - Obstetrics & Gynecology",500.0,0.0,Umang Hospital,Hadapsar,10:00:00,14:00:00,Pune,500.0,04:00
415,Dr. Rashmi,Gynaecologist,0.0,Not Mentioned,500.0,0.0,0 to 9 Women's Care & Fertility Center,Baner,18:00:00,20:00:00,Pune,500.0,02:00
416,Dr. Bhagyashri,Gynaecologist,0.0,Not Mentioned,500.0,0.0,Pristyn Care Clinic,Pune,17:00:00,20:00:00,Pune,500.0,03:00
417,Dr. Aditi,Gynaecologist,0.0,Not Mentioned,500.0,0.0,Pristyn Care Clinic,Pune,17:00:00,20:00:00,Pune,500.0,03:00
418,Dr. Shrideep Arun Parab,Gynaecologist,14.0,"MBBS, DGO",500.0,500.0,Adishri Clinic,Chinchwad,10:00:00,12:00:00,Pune,1000.0,02:00
419,Dr. Neelima Deshpande,Gynaecologist,34.0,"EMDR, FRCOG (LONDON) (Fellow of Royal College of Obstetricians and Gynaecologists), FFSRH,...read more",0.0,300.0,Borse Nursing Home by Vitalife,Pune,14:00:00,16:00:00,Pune,300.0,02:00
420,Dr. Kuldeep R Wagh,Gynaecologist,24.0,"MS - Obstetrics and Gynaecology, MBBS, Post Doctoral Fellowship in Reproductive Medicine, ...read more",600.0,300.0,Blossoms Women Care,Pune,13:00:00,15:00:00,Pune,900.0,02:00
421,Dr. Varshali Mali,Gynaecologist,19.0,"MBBS, DNB (Obstetrics and Gynecology)",600.0,600.0,Dr. Varshali's Gynecology Clinic,Marunji,10:00:00,12:00:00,Pune,1200.0,02:00
422,Dr. Tanuja S Joshi,Gynaecologist,35.0,"MBBS, DGO, MD - Obstetrtics & Gynaecology",400.0,0.0,Shrinivas Hospital,Nigdi,18:30:00,20:30:00,Pune,400.0,02:00
423,Dr. Tejasvini Patil,Gynaecologist,20.0,"MBBS, DGO",500.0,349.0,IVF Nest Fertility Hospital And Centre,Pimple Saudagar,09:00:00,21:00:00,Pune,849.0,12:00
