,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City,Unnamed: 0.1
758,58,Dr. Sanjeev Jain,Dermatologist,32,MD,₹ 600,,Dr Sanjeev Jain Skin Care Clinic,Daryaganj,,8:30 AM,2:00 PM,Delhi,58
759,59,Dr. Amit Seth,Dermatologist,29,"MD, MBBS",,,,,"Advanced Skin Care, Skin Care, Acne Scars TreatmentNext ",10:30 AM,7:00 PM,Delhi,59
760,60,Dr. Pankaj Chaturvedi,Dermatologist,19,"MD, MBBS",,,,,"Hair Loss, Hair Treatment, AllergyNext ",10:00 AM,8:00 PM,Delhi,60
761,61,Dr. Munish Paul,Dermatologist,30,"MD-Dermatology, MBBS",,,,,"Pimples Treatment, Pimples, Acne / Pimples TreatmentNext ",11:00 AM,6:00 PM,Delhi,61
762,62,Dr. Jyoti Sharma,Dermatologist,21,"MD - Dermatology, MBBS",,₹ 300,Vardaan Skin and Bone Clinic,Rohini,"Acne / Pimples Treatment, Pimples, Hair LossNext ",10:00 AM,2:30 PM,Delhi,62
763,63,Dr. A V Singh,Dermatologist,31,"MD, DVD, MBBS",₹ 600,₹ 300,SKIN CARE,Dwarka,"Hair Loss, Hair Fall, Hair TreatmentNext ",5:00 PM,7:00 PM,Delhi,63
764,64,Isaac - International Skin & Anti Ageing Centre,Dermatologist,24,ISAAC,,,,,"Acne/Pimples, Hair Loss, Black Spots on Skin",10:00 AM,7:00 PM,Delhi,64
765,65,Dr. Gaurav Garg,Dermatologist,18,"Fellow In Dermato - Surgery, Fellow In Hair Transplant Surgery, MD - Dermatology, MBBS",,₹ 800,Dermalife Clinic,Green Park,"Hair Loss, Baldness, Hair Growth",11:00 AM,12:30 PM,Delhi,65
766,66,Dr. Geetika Mittal Gupta,Dermatologist,19,"Post Graduate Diploma Practical Dermatology, MBBS",,,,,"Laser Hair Removal, Growing beard",10:00 AM,7:00 PM,Delhi,66
767,67,Dr. Rohit Batra,Dermatologist,25,"MD - Dermatology, MBBS",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",5:30 PM,8:00 PM,Delhi,67
768,68,Dr. Neeraj Kumar,Dermatologist,14,"MBBS, MD - Dermatology",₹ 800,₹ 800,Magical Morphers Pvt Ltd,Delhi,"Hair Loss, Hair Fall, Acne/Pimples",5:00 PM,8:00 PM,Delhi,68
769,69,Looks Forever Hair And Skin Aesthetic Clinic,Dermatologist,23,Dermatologist,₹ 200,₹ 299,,,"Hair Loss, Hair Loss, Hair Transplant",11:00 AM,6:00 PM,Delhi,69
770,70,Dr. Himanshu Gupta,Dermatologist,19,"Fellow of ACSI , Fellow of IADVL , MD - Dermatology, Venereology & Leprosy, MBBS",₹ 400,₹ 500,Skin Konnect Ghaziabad,Naya Ganj,"Hair Loss, Skin Whitening, PimplesNext ",7:00 PM,8:30 PM,Delhi,70
771,71,Dr. Manju Keshari,Dermatologist,30,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 800,,₹ 2,000 onlineKemps Skin Clinic,"Pimples, Pigmentation, Skin InfectionsNext ",4:00 PM,6:00 PM,Delhi,71
772,72,Dr. Jangid,Dermatologist,11,MD,,,,,"Pimples, Acne/Pimples, Hair GrowthNext ",10:30 AM,6:30 PM,Delhi,72
773,73,Dr. Dharamvir Singh,Dermatologist,17,"MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Hair Loss, Hair Fall, Acne/PimplesNext ",11:30 AM,5:30 PM,Delhi,73
774,74,Dr. Rajesh Aggarwal,Dermatologist,22,"MD - Dermatology, MBBS",₹ 800,₹ 700,Dr. Rajesh Aggarwal's Skin Hair Nail Laser Clinic,Rohini,"Hair Loss, Pimples Treatment, Hair FallNext ",6:00 PM,9:00 PM,Delhi,74
775,75,Dr. Varun Tyagi,Dermatologist,15,"MD - Dermatology , Venereology & Leprosy",₹ 800,₹ 500,Perfect Tyagi Hospital,Dilshad Garden,"Laser Hair Removal, Ear Lobe Repair, ColonoscopyNext ",6:00 PM,8:00 PM,Delhi,75
776,76,Dr. Kanu Verma,Dermatologist,22,"MBBS, MD - Dermatology",₹ 600,₹ 600,Aastha Medicare,Dwarka Sector 12A,"Acne/Pimples, Greying Hair, Acne ScarsNext ",11:00 AM,12:30 PM,Delhi,76
777,77,Dr. Latika Arya,Dermatologist,31,"MBBS, MD - Dermatology",,,,,"Pimples, Acne/Pimples, Hair LossNext ",3:00 PM,5:30 PM,Delhi,77
778,78,Dr. Nivedita Dadu,Dermatologist,21,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), DNB (Dermatology), MNAMS",,,,,"Pimples, Acne/Pimples, Hair FallNext ",9:00 AM,6:00 PM,Delhi,78
779,79,Dr. Alka Gupta,Dermatologist,37,"MBBS, MD - Dermatology",₹ 500,,Gupta Skin Clinic,Janakpuri,"Allergy, Pimples TreatmentNext ",5:00 PM,8:30 PM,Delhi,79
780,80,Dr. S. K. Kashyap,Dermatologist,21,"MD - Dermatology, MBBS",₹ 600,₹ 300,Kashyap Skin Clinic,Dwarka,"Hair Growth, Ear Lobe Repair, Removal of CornsNext ",11:00 AM,1:30 PM,Delhi,80
781,81,Dr. Anuj Saigal,Dermatologist,16,"MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Hair Transplant, Acne Scars, Skin Care",10:30 AM,5:00 PM,Delhi,81
782,82,Dr. Sanjeev Gulati,Dermatologist,31,"MD, MBBS",,₹ 500,Rayz Skin & Aesthetic Clinic,Sukhdev Vihar,"Hair Treatment, Acne Scars, CryotherapyNext ",6:00 PM,8:30 PM,Delhi,82
783,83,Dr. Nitin S Walia,Dermatologist,38,"DNB (Dermatology), MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Pimples Treatment, Pimples, Acne / Pimples TreatmentNext ",11:00 AM,12:00 PM,Delhi,83
784,84,Dr. Rajeev Vij,Dermatologist,24,"MBBS, MD - Dermatology",₹ 800,₹ 800,Skin VD & Cosmetic Clinic,Delhi,Acne ScarsNext ,6:00 PM,8:30 PM,Delhi,84
785,85,Dr. Navneet Bansal,Dermatologist,28,"D.V.D, MBBS",₹ 500,₹ 500,Dermacare Wholistic Clinic,Dwarka,"Pimples, Hair Growth, Vitiligo",11:00 AM,1:00 PM,Delhi,85
786,86,Dr. Akhilesh Sharma,Dermatologist,14,"MBBS, DNB (Skin & VD)",₹ 300,₹ 400,Absolute Skin Hair & Laser Center,Najafgarh,,4:00 PM,5:00 PM,Delhi,86
787,87,Dr. Shivali Sethi,Dermatologist,20,"D.D.V.L, F.A.C.S.I, M.B.B.S",₹ 500,₹ 350,Laser Skin Hair Nail Clinic,Gujranwala Town,"Hair Growth, Hair Loss, Hair FallNext ",10:30 AM,1:30 PM,Delhi,87
788,88,Dr. Deepti Dhillon,Dermatologist,21,"MBBS, DDV, Aesthetic medicine",,₹ 500,Appleskin Clinic,Delhi,VitiligoNext ,12:00 PM,4:00 PM,Delhi,88
789,89,Dr. Puneet Aggarwal,Dermatologist,24,"MD - Dermatology, MBBS",₹ 400,₹ 700,Deepak Memorial Hospital & Medical Research Centre,Vikas Marg,,10:00 AM,11:00 AM,Delhi,89
790,90,Dr. Ramanjit Singh,Dermatologist,33,"M.B.B.S, M.D. (Dermatology, Venereology & Leprosy)",,,,,"Skin Care, Pimples, Acne / Pimples TreatmentNext ",2:00 PM,4:30 PM,Delhi,90
791,91,Dr. Pooja Aggarwal,Dermatologist,15,MD - Dermatology,,,,,,10:00 AM,2:00 PM,Delhi,91
792,92,Dr. Gunjan Agarwal,Dermatologist,14,MD - Dermatology,₹ 500,₹ 800,R.S Child and Skin Care Centre,Rohini,,6:00 PM,8:00 PM,Delhi,92
793,93,Dr. Tushar Opneja,Dermatologist,18,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 600,₹ 600,Regenix Clinic,Mayur Vihar Phase 1,"Hair Growth, Dark Skin, Hair Fall",12:00 PM,7:30 PM,Delhi,93
794,94,Dr. Nirupama  Parwanda,Dermatologist,16,"Diploma in Practical Dermatology, MD - Dermatology , Venereology & Leprosy, MBBS",,₹ 700,Zolie Skin Clinic,Kailash Colony,"Acne/Pimples, Acne Scars, AllergyNext ",10:30 AM,7:00 PM,Delhi,94
795,95,Dr. Garima Singh,Dermatologist,14,"MBBS, MD - Dermatology",₹ 500,₹ 500,Apex Multispeciality Hospital And Skin Clinic,Chhatarpur,,11:00 AM,2:00 PM,Delhi,95
796,96,Dr. Shikhar Ganjoo,Dermatologist,11,"Fellowship in Pediatric Dermatology, MD - Dermatology , Venereology & Leprosy, DNB (Dermatology)",,,,,"Acne/Pimples, Hair Fall, Hair LossNext ",7:00 PM,9:00 PM,Delhi,96
797,97,Dr. Renu Madan,Dermatologist,26,"MD, MBBS",₹ 400,,₹ 1,000 onlineAyushman Hospital,"Pimples, Wart Removal, Pimples TreatmentNext ",11:00 AM,1:00 PM,Delhi,97
798,98,Dr. Nipun Jain,Dermatologist,22,MD - Dermatology,₹ 600,₹ 800,AURA SKIN COSMETOLOGY CLINIC,Dwarka,"Hair Loss, Skin Treatment, Facial AestheticsNext ",7:30 PM,9:00 PM,Delhi,98
799,99,Dr. Lori Kaushik Issar,Dermatologist,13,M.Sc - Clinical Dermatology,₹ 500,₹ 400,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",10:30 AM,1:00 PM,Delhi,99
800,100,Dr. Nutri Kalp Clinic,Dietitian/Nutritionist,32,"Master Of Science ( Home Science)  , B.Sc",₹ 500,₹ 200,Nutri Kalp - Rohini,Rohini,"Weight Loss, Gaining Weight, Weight Loss",9:30 AM,6:30 PM,Delhi,100
801,101,Dt. Diets And More,Dietitian/Nutritionist,11,Diploma in Diet and Nutrition,,₹ 700,,,"Weight Loss, Diet Chart, Weight Loss Treatment",11:00 AM,9:00 PM,Delhi,101
802,102,Dr. Swarnshikha Sharma,Dietitian/Nutritionist,16,"Doctrate In Dietetics, PhD - Psychology",₹ 300,₹ 829,Rising Health,Delhi,"Weight Loss, Weight Loss, Diet Chart",12:00 PM,8:00 PM,Delhi,102
803,103,Dt. Ritika Dua,Dietitian/Nutritionist,24,"BSc-Diet & Nutrition, M.Sc-Diet & Nutrition",,,,,,9:00 AM,9:00 PM,Delhi,103
804,104,Mrs. Kritika Bhola,Dietitian/Nutritionist,19,"BHOM, MD - Alternate Medicine, Diploma in Weight Loss, Diploma in Nutrition, DNHE",₹ 500,₹ 500,Curewell Therapies,Sultanpur,"Gaining Weight, Weight Loss, Ketogenic DietNext ",4:00 PM,8:00 PM,Delhi,104
805,105,Ms. Divya Gandhi,Dietitian/Nutritionist,12,"Diploma In Diet & Nutrition, Diploma In Dietitics, Health & Nutrition",,₹ 250,Divya Gandhi's Diet N Cure Clinic,Ashok Vihar,"Weight Loss, Gaining Weight, Weight Loss Treatment",10:00 AM,4:00 PM,Delhi,105
806,106,Dt. Raminder Deshmukh,Dietitian/Nutritionist,33,PG Diploma in Dietetics and Public health Nutrition,,₹ 400,Journey To Health,Rajouri Garden,"Weight Loss, Weight LossNext ",10:00 AM,7:00 PM,Delhi,106
807,107,Dt. Rashima Arora,Dietitian/Nutritionist,18,"BSc-Food and Applied Nutrition, PG in Clinical Nutrition and Dietetics, Intertionally Cert...read more",₹ 500,₹ 350,Dr.Ajay's Dental & Nutrition Clinic,Rohini Sector 7,,9:30 AM,1:30 PM,Delhi,107
808,108,Dt. Shweta Diwan,Dietitian/Nutritionist,19,"Diploma in Dietetics and Nutrition, Diploma in Diet and Nutrition, Diploma in Paediatric N...read more",,₹ 300,Shweta's Slimage Diet Clinic,Punjabi Bagh,"Weight Loss, Weight Loss, AnorexiaNext ",8:30 AM,4:30 PM,Delhi,108
809,109,Dt. Megha Gupta,Dietitian/Nutritionist,13,,₹ 500,,₹ 1,500 onlineCure & Curves Diet Clinic,Weight LossNext ,9:00 AM,8:00 PM,Delhi,109
810,110,Dt. Deepika Kohli,Dietitian/Nutritionist,26,,₹ 500,₹ 300,Life Care Centre,Krishna Nagar,Diabetic Diet CounselingNext ,6:00 PM,8:00 PM,Delhi,110
811,111,Dt. Sonia  Narang,Dietitian/Nutritionist,27,"M.Sc, Internship From AIIMS - Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",,₹ 300,Sonia Narang's Diet & Wellness Clinics - Janakpuri,Chander Nagar,,9:30 AM,5:30 PM,Delhi,111
812,112,Dr. Lochan Arora,Dietitian/Nutritionist,13,,₹ 500,₹ 300,Veda Physiotherapy & Nutrition Clinic,Derawal Nagar,"Foot Pain, Knee Injury, PhysiotherapyNext ",4:30 PM,8:00 PM,Delhi,112
813,113,Diet Clinic,Dietitian/Nutritionist,21,"B.Sc.(Hons), P.G.Dietetics",₹ 750,₹ 250,,,"Weight Loss, Weight Loss, Weight Loss Treatment",9:00 AM,5:00 PM,Delhi,113
814,114,Dt. Nidhi Chandra,Dietitian/Nutritionist,12,"Certified Diabetes Educator, Diploma In Sports Nutrition, Diploma in Yoga, IDEEL",₹ 800,₹ 300,Pathya Wellness - GK I,Greater Kailash,"Weight Loss, Gaining Weight, Diet ChartNext ",4:00 PM,6:00 PM,Delhi,114
815,115,Dt. Nidhi Sawhney,Dietitian/Nutritionist,15,"Nutrition & Dietetics, Dietetics",,₹ 300,Dt. Nidhi Sawhney's Nutri Advice,Gulmohar Park,Weight Loss,9:30 AM,1:30 PM,Delhi,115
816,116,Dt. Kanika Khanna,Dietitian/Nutritionist,18,"M.Sc in Food & Nutrition, BSC in Clinical Nutrition & Dietitics",,₹ 350,DIETOFY SOLUTIONS,Rajouri Garden,,10:00 AM,6:00 PM,Delhi,116
817,117,Dt. Nehha Ahuja,Dietitian/Nutritionist,16,"PG Diploma Nutrition & Dietetics, B.Sc - Home Science",₹ 500,₹ 300,Diet Centre,Patel Nagar,"Weight Loss, Weight Loss, Gaining WeightNext ",3:30 PM,8:30 PM,Delhi,117
818,118,Dt. Divya Chadha,Dietitian/Nutritionist,12,"Bachelor of Science in Nutrition and Dietetics, Diploma in Diet and Nutrition",₹ 500,₹ 310,Health And U By Divya Chadha,Janakpuri,,10:00 AM,7:00 PM,Delhi,118
819,119,Dt. Srishti Shukla,Dietitian/Nutritionist,12,"BSC (Home Science), Clinical of Nutrition, DNHE, DDHN",₹ 500,₹ 250,Shrya Specialist Polyclinic,Delhi,,10:00 AM,1:00 PM,Delhi,119
820,120,Dt. Seema Singh,Dietitian/Nutritionist,19,,₹ 500,,₹ 1,250 onlineVidhyawati Nursing Home,,9:00 AM,6:00 PM,Delhi,120
821,121,Dt. Arpita  B. Acharya,Dietitian/Nutritionist,31,,₹ 500,₹ 450,,,,9:00 AM,3:00 PM,Delhi,121
822,122,Dr. Megha Mukhija,Dietitian/Nutritionist,11,,₹ 500,,₹ 1,000 onlineHealth Mania - Rohini,"Obesity, Diabetic Diet Counseling, Weight LossNext ",10:30 AM,1:30 PM,Delhi,122
823,123,Dt. Neha Jain,Dietitian/Nutritionist,18,,,₹ 500,The Diet Do's,Karkardooma,"Weight Loss, Weight Loss Treatment, Diet PlanningNext ",5:00 PM,8:00 PM,Delhi,123
824,124,Dt. Shweta Sharma,Dietitian/Nutritionist,21,Certificate In Food & Nutrition,₹ 500,,,,,9:00 AM,5:00 PM,Delhi,124
825,125,Dt. Seema Singh,Dietitian/Nutritionist,24,MSC FOODS AND NUTRITION,,,,,Sports NutritionNext ,7:00 AM,7:00 AM,Delhi,125
826,126,Dr. Shalini Singhal,Dietitian/Nutritionist,28,"Ph.D(Clinical Nutrition), M.Sc(Foods&Nutrition",,,,,"Weight Loss Treatment, Weight LossNext ",12:00 PM,5:00 PM,Delhi,126
827,127,Dr. Suneet Khanna,Dietitian/Nutritionist,41,,,,,,"Weight Loss Treatment, Diet Planning, Diet Chart",9:30 AM,11:30 AM,Delhi,127
828,128,Dr. Ekta Jain,Dietitian/Nutritionist,20,"Diploma in Diet,Health & Nutritions, MSc - Food and Applied Nutrition",₹ 800,₹ 800,GoDiets Clinic,Karkardooma,"Weight Loss, Weight Loss, Weight Loss Diet Counseling",10:00 AM,5:00 PM,Delhi,128
829,129,Dr. Sunita Attray,Dietitian/Nutritionist,9,"Diploma In Dietetics,Health & Nutrition",₹ 500,₹ 300,Avni Healthcare Centre,Rohini,,4:00 PM,6:00 PM,Delhi,129
830,130,Dt. Shelly Singhal,Dietitian/Nutritionist,9,Diploma in Diet and Nutrition,₹ 500,₹ 223,,,,7:00 AM,9:00 PM,Delhi,130
831,131,Dt. Mansi Saxena,Dietitian/Nutritionist,13,,,,,,,8:00 AM,8:30 AM,Delhi,131
832,132,Dt. Himanshu Rai,Dietitian/Nutritionist,17,MSC NUTRITIONAL SCIENCES,₹ 800,,₹ 1,000 onlineTHINKYOU.IN,,10:30 AM,7:30 PM,Delhi,132
833,133,Dt. Neeru Dawra,Dietitian/Nutritionist,8,Diploma In DDHE,₹ 500,₹ 300,ND DIET & NUTRITION CLINIC,Rohini Sector 11,,6:00 PM,8:00 PM,Delhi,133
834,134,Dt. Kusum Surana,Dietitian/Nutritionist,50,MBBS,₹ 500,₹ 500,Dr. Surana Eye Tech,Hauz Khas,,6:30 PM,7:30 PM,Delhi,134
835,135,Dr. Monika Arora,Dietitian/Nutritionist,22,"B.Sc - Home Science , PG - Diploma In Nutrition & Dietcics",₹ 700,₹ 300,Indus Health,Pitampura,"Diet Planning, Diet Chart, Weight ManagementNext ",10:00 AM,1:00 PM,Delhi,135
836,136,Dt. Priyanka Panwar,Dietitian/Nutritionist,18,M.Sc. - Dietitian,₹ 500,₹ 200,Rising Health (On Call),Lajpat Nagar,"Gaining Weight, Weight Loss, Diet PlanningNext ",10:00 AM,7:00 PM,Delhi,136
837,137,Dr. Ruchi Bhatia,Dietitian/Nutritionist,21,Diploma in Diet and Nutrition,₹ 200,,Ruchi Bhatia Diet Studio,Lajpat Nagar,,9:00 AM,3:00 PM,Delhi,137
838,138,Dt. Punita Srivastava,Dietitian/Nutritionist,13,"M.SC In Clinical Nutrition & Dietetics, PGCDE Certifies Diabetes Educator",,₹ 300,Apollo Hospital,Sarita Vihar,,10:00 AM,5:00 PM,Delhi,138
839,139,Dt. Lata Sharma,Dietitian/Nutritionist,26,,₹ 750,,iDiets,Patparganj,,5:00 PM,8:00 PM,Delhi,139
840,140,Dt. Diksha Gulati,Dietitian/Nutritionist,11,"BSc - Food & Nutrition, Post Graduation Diploma In Dietetics & Public Health Nutrition, Di...read more",,₹ 350,Diet Plate,Model Town,,6:00 PM,8:00 PM,Delhi,140
841,141,Dt. Monica Kapur,Dietitian/Nutritionist,31,"Certification In Nutrition & Weight Management, B.Com, Certificate In Food & Nutrition",,₹ 300,Dr. Monica's Diet Clinic,Pitampura,,12:00 PM,7:00 PM,Delhi,141
842,142,Dt. Deepak Bhanot,Dietitian/Nutritionist,14,DNHE,₹ 500,₹ 200,,,,10:00 AM,7:00 PM,Delhi,142
843,143,Dt. Pallavi Dua,Dietitian/Nutritionist,6,,₹ 500,₹ 200,Surgical Center For Obesity And Diabetes,Delhi,,10:00 AM,5:00 PM,Delhi,143
844,144,Dr. Richa Garg,Dietitian/Nutritionist,21,"Bachelor of Ayurveda, Medicine and Surgery (BAMS)",,₹ 300,Arogyam Nutrition,Rohini,,9:00 AM,5:00 PM,Delhi,144
845,145,Dt. Priti Bhatia,Dietitian/Nutritionist,18,MSC Food & Nutrition,₹ 700,₹ 700,De' Health Planet,Dwarka Sector 6,,11:00 AM,8:00 PM,Delhi,145
846,146,Dt. Rakhi Khurana,Dietitian/Nutritionist,27,Bsc - Home Science,,₹ 300,Diet Care N Cure,Ashok Vihar,,9:00 AM,2:00 PM,Delhi,146
847,147,Dt. Nidhi Bhalla,Dietitian/Nutritionist,28,"BSC, Diploma in Diet & Nutrition",₹ 500,₹ 300,Nidhi Bhalla Diet Clinic,Rohini,,9:30 AM,3:30 PM,Delhi,147
848,148,Dt. Shivani Sikri,Dietitian/Nutritionist,12,"Post Graduate Diploma in Nutrition & Dietetics, Post Graduate Diploma in Piblic Health Nutrition",,,,,Weight LossNext ,9:30 AM,7:00 PM,Delhi,148
849,149,Dr. Sugeeta Mutreja,Dietitian/Nutritionist,24,"BAMS, MBA (H.A), DNHE",,₹ 300,Aarogya Diets & Nutrition Clinic,Dwarka Sector 12,,9:00 AM,1:00 PM,Delhi,149
850,150,Dr. Anil Mehta,General+Physician,30,"MBBS, DNB (General Medicine)",₹ 500,₹ 700,Aakash Medical Centre,Sheikh Sarai,"Allergy, Allergy Treatment, Hair FallNext ",7:30 PM,8:30 PM,Delhi,150
851,151,Dr. Prakhar Singh,General+Physician,10,"MBBS, Basic Life Support (B.L.S), Advanced Cardiac Life Support, Fellow Of Academy Of Gene...read more",₹ 500,₹ 300,Sama hospital,Siri Fort,"Masturbation Addiction, Stomach Pain, Body Weakness",9:30 AM,10:30 AM,Delhi,151
852,152,Dr. Rajiva Gupta,General+Physician,44,"MBBS, MD - Internal Medicine, Post Graduate Program in Diabetology",,,,,"Masturbation Addiction, Stomach Pain, HeadachesNext ",4:00 PM,6:00 PM,Delhi,152
853,153,Dr. Hanish Gupta,General+Physician,21,"MBBS, DNB (General Medicine)",₹ 700,₹ 500,LifeAID Clinic,Mayur Vihar Phase 1,"Diabetes, Diabetes, Thyroid Disorders",7:30 AM,9:00 AM,Delhi,153
854,154,Dr. Amarpreet Singh Riar,General+Physician,19,"MBBS, PG Diploma In Emergency Trauma Care, Fellowship in Diabetes",,₹ 600,Aman Medical Clinic,Dwarka,"Allergy, Penis Pain, Cold CoughNext ",10:00 AM,2:00 PM,Delhi,154
855,155,Dr. Ajit  K Thakur,General+Physician,25,"MD - General Medicine, MBBS, IDCCM, IFCCM Critical Care",₹ 500,₹ 700,Al Shifa Hospital,Okhla,,5:30 PM,7:00 PM,Delhi,155
856,156,Dr. Ashish Khattar,General+Physician,24,"MBBS, MD - General Medicine, PG Diploma Diabetology, Post Graduate Diploma in Clinical End...read more",₹ 700,₹ 800,,,,6:00 PM,8:30 PM,Delhi,156
857,157,Dr. Vijay  Kansal,General+Physician,53,MBBS,₹ 600,₹ 300,Kalyan Poly Clinic,Pitampura,,4:00 PM,8:00 PM,Delhi,157
858,158,Dr. Utsav Sahu,General+Physician,9,MD - Medicine,,,,,Bladder InfectionsNext ,4:00 PM,8:00 PM,Delhi,158
859,159,Dr. Nikhil Aggarwal,General+Physician,9,"MBBS, MD - Anatomy",₹ 600,₹ 600,Medical care,Gujranwala Town,,4:30 PM,11:00 PM,Delhi,159
860,160,Dr. Neelam Nath,General+Physician,49,"Diploma in Obstetrics & Gynaecology, MBBS",₹ 200,₹ 300,Suneera Charitable Center,New Delhi,"Pregnancy, AbortionNext ",4:00 PM,7:00 PM,Delhi,160
861,161,Dr. Pratik Banerjee,General+Physician,35,MBBS,,,,,Neck PainNext ,8:30 AM,1:30 PM,Delhi,161
862,162,Dr. Rakesh Sharma,General+Physician,36,"DDF, FCCP, MD , MBBS",₹ 700,,₹ 1,000 onlineDr Rakesh Sharma’s Clinic,"Diabetes, Dizziness, ImmunizationsNext ",1:00 PM,6:00 PM,Delhi,162
863,163,Dr. Ritez Kumar,General+Physician,18,"MBBS, MD - Internal Medicine",₹ 600,,GLOBAL WELLNESS CENTRE,Dabri,"Headaches, Chest Pain, TuberculosisNext ",6:00 PM,9:00 PM,Delhi,163
864,164,Dr. Hariom Ahuja,General+Physician,45,"MD - Internal Medicine, MBBS",,₹ 400,Ahuja Clinic,Saket,,5:00 PM,6:30 PM,Delhi,164
865,165,Dr. Ramneek Varma,General+Physician,48,"MD-Internal Medicine , MBBS",,₹ 300,Sukhmani Hospital,Safdarjung Enclave,"Staying Healthy, Body Weakness, Alcoholic Liver DiseaseNext ",5:00 PM,6:00 PM,Delhi,165
866,166,Dr. Vipul Mohan,General+Physician,17,"MBBS, MD - General Medicine, Diploma In Cardiology",,,,,"Diabetes, Diabetes ManagementNext ",4:00 PM,8:00 PM,Delhi,166
867,167,Dr. Mohd. Sajid Khan,General+Physician,17,"MD, MBBS",₹ 200,₹ 200,Alshifa Hospital,Okhla,"Neck Pain, Stomach Pain, HeadachesNext ",3:00 PM,5:00 PM,Delhi,167
868,168,Dr. Rajesh Kumar Meena,General+Physician,19,"MD - Consultant Physician, Senior Resident-Emergency Medicine",,₹ 800,Moolchand Medcity,Lajpat Nagar,,11:00 AM,3:00 PM,Delhi,168
869,169,Dr. Suresh Mittal,General+Physician,40,"MD, MBBS",,,,,,4:00 PM,5:00 PM,Delhi,169
870,170,Dr. Satish Kumar Bhardwaj,General+Physician,33,Fellowship of College of General Practice (FCGP),,,,,,6:30 PM,8:00 PM,Delhi,170
871,171,Dr. Pankaj Kumar,General+Physician,19,"MBBS, DNB FAMILY MEDICINE",₹ 700,₹ 650,Diet Plus Minus,Delhi,,10:00 AM,2:00 PM,Delhi,171
872,172,Dr. Manish Gambhir,General+Physician,29,BAMS,₹ 200,₹ 700,Pushp Clinic,New Delhi,AllergyNext ,10:00 AM,1:30 PM,Delhi,172
873,173,Dr. Sanjeev Gupta,General+Physician,24,"MBBS, MD - Medicine, POST GRADUATE CLINICAL COURSE IN DIABETES MANAGEMENT",₹ 500,₹ 500,Dr. Sanjeev Clinc,Vaibhav Khand,"Chickenpox Treatment  , Diabetes, Neck Pain",9:00 AM,12:00 PM,Delhi,173
874,174,Dr. Sanchayan Roy,General+Physician,26,"DNB (Medicine), MBBS",,,,,"Headaches, Stomach Pain, SweatingNext ",9:00 AM,11:30 AM,Delhi,174
875,175,Dr. Manisha Roy,General+Physician,18,MBBS,₹ 500,₹ 300,Dr. Manisha,Delhi,"Erection Problems, Epilepsy, Neck PainNext ",10:00 AM,7:30 PM,Delhi,175
876,176,Dr. Aakash Kumar,General+Physician,7,"Bachelor of Ayurveda, Medicine and Surgery (BAMS), CMS & ED, MD, ACCM, ACDM",₹ 300,₹ 300,,,,12:00 PM,5:00 PM,Delhi,176
877,177,Dr. Ashok Grover,General+Physician,45,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - General Medicine",,,,,"Gaining Weight, Hyperthyroidism, Underactive ThyroidNext ",10:00 AM,12:00 PM,Delhi,177
878,178,Dr. Arun  Jain,General+Physician,36,MBBS,₹ 500,₹ 500,Dr. Arun Jain's Clinic,Rohini,,9:00 AM,1:30 PM,Delhi,178
879,179,Dr. Bharat Bhushan Bharti,General+Physician,29,MD Physician,₹ 500,,Dr Bharti Clinic,Gulabi Bagh,,6:00 PM,9:00 PM,Delhi,179
880,180,Dr. Manoj Kumar Jha,General+Physician,29,"MBBS, MBA (Healthcare)",₹ 500,₹ 500,Dr Jha Online Consultation,Delhi,"Gastric Problem, Chikungunya, Neck Pain",9:00 AM,11:00 PM,Delhi,180
881,181,Dr. Nishi Nath Jha,General+Physician,39,"MBBS, MD - Medicine",₹ 500,₹ 900,Good Health Clinic,Shastri Nagar,,10:00 AM,2:00 PM,Delhi,181
882,182,Dr. Amit Singhal,General+Physician,18,"M.B.B.S., M.D.",₹ 450,₹ 200,Singhal Clinic,New Delhi,,10:00 AM,1:00 PM,Delhi,182
883,183,Dr. Garima,General+Physician,3,MNAMS (Membership of the National Academy) (Ophthalmology),₹ 300,,Private Practitioner,Sarita Vihar,"Allergy, Allergy TreatmentNext ",7:00 AM,4:30 PM,Delhi,183
884,184,Dr. Pulkit K.Varshney,General+Physician,12,"MBBS Bachelor of Medicine and Bachelor of Surgery, Postgraduate Diploma Clinical Cardiolog...read more",₹ 500,₹ 500,Dr.Pulkits Family  Clinic And Diabetes Centre,Subhash Nagar,,10:00 AM,2:00 PM,Delhi,184
